,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,population_density,median_age
33823,COM,Africa,Comoros,2021-02-20,3490.0,17.0,143.0,1.0,888456.0,437.352,20.4
33824,COM,Africa,Comoros,2021-02-21,3502.0,12.0,143.0,0.0,888456.0,437.352,20.4
33825,COM,Africa,Comoros,2021-02-22,3518.0,16.0,144.0,1.0,888456.0,437.352,20.4
33826,COM,Africa,Comoros,2021-02-23,3522.0,4.0,144.0,0.0,888456.0,437.352,20.4
33827,COM,Africa,Comoros,2021-02-24,3539.0,17.0,144.0,0.0,888456.0,437.352,20.4
33828,COM,Africa,Comoros,2021-02-25,3552.0,13.0,144.0,0.0,888456.0,437.352,20.4
33829,COM,Africa,Comoros,2021-02-26,3558.0,6.0,144.0,0.0,888456.0,437.352,20.4
33830,COM,Africa,Comoros,2021-02-27,3571.0,13.0,144.0,0.0,888456.0,437.352,20.4
33831,COM,Africa,Comoros,2021-02-28,3571.0,0.0,144.0,0.0,888456.0,437.352,20.4
33832,COM,Africa,Comoros,2021-03-01,3578.0,7.0,144.0,0.0,888456.0,437.352,20.4
33833,COM,Africa,Comoros,2021-03-02,3578.0,0.0,144.0,0.0,888456.0,437.352,20.4
33834,COM,Africa,Comoros,2021-03-03,3580.0,2.0,144.0,0.0,888456.0,437.352,20.4
33835,COM,Africa,Comoros,2021-03-04,3580.0,0.0,144.0,0.0,888456.0,437.352,20.4
33836,COM,Africa,Comoros,2021-03-05,3587.0,7.0,145.0,1.0,888456.0,437.352,20.4
33837,COM,Africa,Comoros,2021-03-06,3596.0,9.0,146.0,1.0,888456.0,437.352,20.4
33838,COM,Africa,Comoros,2021-03-07,3596.0,0.0,146.0,0.0,888456.0,437.352,20.4
33839,COM,Africa,Comoros,2021-03-08,3606.0,10.0,146.0,0.0,888456.0,437.352,20.4
33840,COM,Africa,Comoros,2021-03-09,3606.0,0.0,146.0,0.0,888456.0,437.352,20.4
33841,COM,Africa,Comoros,2021-03-10,3611.0,5.0,146.0,0.0,888456.0,437.352,20.4
33842,COM,Africa,Comoros,2021-03-11,3615.0,4.0,146.0,0.0,888456.0,437.352,20.4
33843,COM,Africa,Comoros,2021-03-12,3618.0,3.0,146.0,0.0,888456.0,437.352,20.4
33844,COM,Africa,Comoros,2021-03-13,3626.0,8.0,146.0,0.0,888456.0,437.352,20.4
33845,COM,Africa,Comoros,2021-03-14,3635.0,9.0,146.0,0.0,888456.0,437.352,20.4
33846,COM,Africa,Comoros,2021-03-15,3646.0,11.0,146.0,0.0,888456.0,437.352,20.4
33847,COM,Africa,Comoros,2021-03-16,3647.0,1.0,146.0,0.0,888456.0,437.352,20.4
33848,COM,Africa,Comoros,2021-03-17,3652.0,5.0,146.0,0.0,888456.0,437.352,20.4
33849,COM,Africa,Comoros,2021-03-18,3657.0,5.0,146.0,0.0,888456.0,437.352,20.4
33850,COM,Africa,Comoros,2021-03-19,3665.0,8.0,146.0,0.0,888456.0,437.352,20.4
33851,COM,Africa,Comoros,2021-03-20,3666.0,1.0,146.0,0.0,888456.0,437.352,20.4
33852,COM,Africa,Comoros,2021-03-21,3666.0,0.0,146.0,0.0,888456.0,437.352,20.4
33853,COM,Africa,Comoros,2021-03-22,3666.0,0.0,146.0,0.0,888456.0,437.352,20.4
33854,COM,Africa,Comoros,2021-03-23,3681.0,15.0,146.0,0.0,888456.0,437.352,20.4
33855,COM,Africa,Comoros,2021-03-24,3682.0,1.0,146.0,0.0,888456.0,437.352,20.4
33856,COM,Africa,Comoros,2021-03-25,3687.0,5.0,146.0,0.0,888456.0,437.352,20.4
33857,COM,Africa,Comoros,2021-03-26,3689.0,2.0,146.0,0.0,888456.0,437.352,20.4
33858,COM,Africa,Comoros,2021-03-27,3690.0,1.0,146.0,0.0,888456.0,437.352,20.4
33859,COM,Africa,Comoros,2021-03-28,3690.0,0.0,146.0,0.0,888456.0,437.352,20.4
33860,COM,Africa,Comoros,2021-03-29,3696.0,6.0,146.0,0.0,888456.0,437.352,20.4
33861,COM,Africa,Comoros,2021-03-30,3696.0,0.0,146.0,0.0,888456.0,437.352,20.4
33862,COM,Africa,Comoros,2021-03-31,3696.0,0.0,146.0,0.0,888456.0,437.352,20.4
33863,COM,Africa,Comoros,2021-04-01,3704.0,8.0,146.0,0.0,888456.0,437.352,20.4
33864,COM,Africa,Comoros,2021-04-02,3712.0,8.0,146.0,0.0,888456.0,437.352,20.4
33865,COM,Africa,Comoros,2021-04-03,3712.0,0.0,146.0,0.0,888456.0,437.352,20.4
33866,COM,Africa,Comoros,2021-04-04,3719.0,7.0,146.0,0.0,888456.0,437.352,20.4
33867,COM,Africa,Comoros,2021-04-05,3725.0,6.0,146.0,0.0,888456.0,437.352,20.4
33868,COM,Africa,Comoros,2021-04-06,3738.0,13.0,146.0,0.0,888456.0,437.352,20.4
33869,COM,Africa,Comoros,2021-04-07,3758.0,20.0,146.0,0.0,888456.0,437.352,20.4
33870,COM,Africa,Comoros,2021-04-08,3758.0,0.0,146.0,0.0,888456.0,437.352,20.4
33871,COM,Africa,Comoros,2021-04-09,3758.0,0.0,146.0,0.0,888456.0,437.352,20.4
33872,COM,Africa,Comoros,2021-04-10,3789.0,31.0,146.0,0.0,888456.0,437.352,20.4
33873,COM,Africa,Comoros,2021-04-11,3789.0,0.0,146.0,0.0,888456.0,437.352,20.4
33874,COM,Africa,Comoros,2021-04-12,3789.0,0.0,146.0,0.0,888456.0,437.352,20.4
33875,COM,Africa,Comoros,2021-04-13,3796.0,7.0,146.0,0.0,888456.0,437.352,20.4
33876,COM,Africa,Comoros,2021-04-14,3803.0,7.0,146.0,0.0,888456.0,437.352,20.4
33877,COM,Africa,Comoros,2021-04-15,3809.0,6.0,146.0,0.0,888456.0,437.352,20.4
33878,COM,Africa,Comoros,2021-04-16,3815.0,6.0,146.0,0.0,888456.0,437.352,20.4
33879,COM,Africa,Comoros,2021-04-17,3815.0,0.0,146.0,0.0,888456.0,437.352,20.4
33880,COM,Africa,Comoros,2021-04-18,3819.0,4.0,146.0,0.0,888456.0,437.352,20.4
33881,COM,Africa,Comoros,2021-04-19,3819.0,0.0,146.0,0.0,888456.0,437.352,20.4
33882,COM,Africa,Comoros,2021-04-20,3820.0,1.0,146.0,0.0,888456.0,437.352,20.4
33883,COM,Africa,Comoros,2021-04-21,3822.0,2.0,146.0,0.0,888456.0,437.352,20.4
33884,COM,Africa,Comoros,2021-04-22,3824.0,2.0,146.0,0.0,888456.0,437.352,20.4
33885,COM,Africa,Comoros,2021-04-23,3826.0,2.0,146.0,0.0,888456.0,437.352,20.4
33886,COM,Africa,Comoros,2021-04-24,3829.0,3.0,146.0,0.0,888456.0,437.352,20.4
33887,COM,Africa,Comoros,2021-04-25,3829.0,0.0,146.0,0.0,888456.0,437.352,20.4
33888,COM,Africa,Comoros,2021-04-26,3829.0,0.0,146.0,0.0,888456.0,437.352,20.4
33889,COM,Africa,Comoros,2021-04-27,3829.0,0.0,146.0,0.0,888456.0,437.352,20.4
33890,COM,Africa,Comoros,2021-04-28,3833.0,4.0,146.0,0.0,888456.0,437.352,20.4
33891,COM,Africa,Comoros,2021-04-29,3834.0,1.0,146.0,0.0,888456.0,437.352,20.4
33892,COM,Africa,Comoros,2021-04-30,3834.0,0.0,146.0,0.0,888456.0,437.352,20.4
33893,COM,Africa,Comoros,2021-05-01,3838.0,4.0,146.0,0.0,888456.0,437.352,20.4
33894,COM,Africa,Comoros,2021-05-02,3839.0,1.0,146.0,0.0,888456.0,437.352,20.4
33895,COM,Africa,Comoros,2021-05-03,3845.0,6.0,146.0,0.0,888456.0,437.352,20.4
33896,COM,Africa,Comoros,2021-05-04,3846.0,1.0,146.0,0.0,888456.0,437.352,20.4
33897,COM,Africa,Comoros,2021-05-05,3847.0,1.0,146.0,0.0,888456.0,437.352,20.4
33898,COM,Africa,Comoros,2021-05-06,3847.0,0.0,146.0,0.0,888456.0,437.352,20.4
33899,COM,Africa,Comoros,2021-05-07,3854.0,7.0,146.0,0.0,888456.0,437.352,20.4
33900,COM,Africa,Comoros,2021-05-08,3854.0,0.0,146.0,0.0,888456.0,437.352,20.4
33901,COM,Africa,Comoros,2021-05-09,3854.0,0.0,146.0,0.0,888456.0,437.352,20.4
33902,COM,Africa,Comoros,2021-05-10,3860.0,6.0,146.0,0.0,888456.0,437.352,20.4
33903,COM,Africa,Comoros,2021-05-11,3860.0,0.0,146.0,0.0,888456.0,437.352,20.4
33904,COM,Africa,Comoros,2021-05-12,3860.0,0.0,146.0,0.0,888456.0,437.352,20.4
33905,COM,Africa,Comoros,2021-05-13,3860.0,0.0,146.0,0.0,888456.0,437.352,20.4
33906,COM,Africa,Comoros,2021-05-14,3860.0,0.0,146.0,0.0,888456.0,437.352,20.4
33907,COM,Africa,Comoros,2021-05-15,3863.0,3.0,146.0,0.0,888456.0,437.352,20.4
33908,COM,Africa,Comoros,2021-05-16,3863.0,0.0,146.0,0.0,888456.0,437.352,20.4
33909,COM,Africa,Comoros,2021-05-17,3863.0,0.0,146.0,0.0,888456.0,437.352,20.4
33910,COM,Africa,Comoros,2021-05-18,3864.0,1.0,146.0,0.0,888456.0,437.352,20.4
33911,COM,Africa,Comoros,2021-05-19,3864.0,0.0,146.0,0.0,888456.0,437.352,20.4
33912,COM,Africa,Comoros,2021-05-20,3864.0,0.0,146.0,0.0,888456.0,437.352,20.4
33913,COM,Africa,Comoros,2021-05-21,3868.0,4.0,146.0,0.0,888456.0,437.352,20.4
33914,COM,Africa,Comoros,2021-05-22,3870.0,2.0,146.0,0.0,888456.0,437.352,20.4
33915,COM,Africa,Comoros,2021-05-23,3872.0,2.0,146.0,0.0,888456.0,437.352,20.4
33916,COM,Africa,Comoros,2021-05-24,3872.0,0.0,146.0,0.0,888456.0,437.352,20.4
33917,COM,Africa,Comoros,2021-05-25,3875.0,3.0,146.0,0.0,888456.0,437.352,20.4
33918,COM,Africa,Comoros,2021-05-26,3879.0,4.0,146.0,0.0,888456.0,437.352,20.4
33919,COM,Africa,Comoros,2021-05-27,3879.0,0.0,146.0,0.0,888456.0,437.352,20.4
33920,COM,Africa,Comoros,2021-05-28,3879.0,0.0,146.0,0.0,888456.0,437.352,20.4
33921,COM,Africa,Comoros,2021-05-29,3881.0,2.0,146.0,0.0,888456.0,437.352,20.4
33922,COM,Africa,Comoros,2021-05-30,3881.0,0.0,146.0,0.0,888456.0,437.352,20.4
33923,COM,Africa,Comoros,2021-05-31,3881.0,0.0,146.0,0.0,888456.0,437.352,20.4
33924,COM,Africa,Comoros,2021-06-01,3881.0,0.0,146.0,0.0,888456.0,437.352,20.4
33925,COM,Africa,Comoros,2021-06-02,3882.0,1.0,146.0,0.0,888456.0,437.352,20.4
33926,COM,Africa,Comoros,2021-06-03,3882.0,0.0,146.0,0.0,888456.0,437.352,20.4
33927,COM,Africa,Comoros,2021-06-04,3886.0,4.0,146.0,0.0,888456.0,437.352,20.4
33928,COM,Africa,Comoros,2021-06-05,3886.0,0.0,146.0,0.0,888456.0,437.352,20.4
33929,COM,Africa,Comoros,2021-06-06,3888.0,2.0,146.0,0.0,888456.0,437.352,20.4
33930,COM,Africa,Comoros,2021-06-07,3890.0,2.0,146.0,0.0,888456.0,437.352,20.4
33931,COM,Africa,Comoros,2021-06-08,3890.0,0.0,146.0,0.0,888456.0,437.352,20.4
33932,COM,Africa,Comoros,2021-06-09,3890.0,0.0,146.0,0.0,888456.0,437.352,20.4
33933,COM,Africa,Comoros,2021-06-10,3894.0,4.0,146.0,0.0,888456.0,437.352,20.4
33934,COM,Africa,Comoros,2021-06-11,3894.0,0.0,146.0,0.0,888456.0,437.352,20.4
33935,COM,Africa,Comoros,2021-06-12,3899.0,5.0,146.0,0.0,888456.0,437.352,20.4
33936,COM,Africa,Comoros,2021-06-13,3899.0,0.0,146.0,0.0,888456.0,437.352,20.4
33937,COM,Africa,Comoros,2021-06-14,3901.0,2.0,146.0,0.0,888456.0,437.352,20.4
33938,COM,Africa,Comoros,2021-06-15,3901.0,0.0,146.0,0.0,888456.0,437.352,20.4
33939,COM,Africa,Comoros,2021-06-16,3905.0,4.0,146.0,0.0,888456.0,437.352,20.4
33940,COM,Africa,Comoros,2021-06-17,3905.0,0.0,146.0,0.0,888456.0,437.352,20.4
33941,COM,Africa,Comoros,2021-06-18,3905.0,0.0,146.0,0.0,888456.0,437.352,20.4
33942,COM,Africa,Comoros,2021-06-19,3908.0,3.0,146.0,0.0,888456.0,437.352,20.4
33943,COM,Africa,Comoros,2021-06-20,3908.0,0.0,146.0,0.0,888456.0,437.352,20.4
33944,COM,Africa,Comoros,2021-06-21,3912.0,4.0,146.0,0.0,888456.0,437.352,20.4
33945,COM,Africa,Comoros,2021-06-22,3912.0,0.0,146.0,0.0,888456.0,437.352,20.4
