"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4980586750953","51.3171046847517","49.2788365549403","52.1535197540249","55.5966216567767","56.9711022470094","58.3243974540015","54.9189317678615","53.7569592004958","53.3627229073678","52.671559796448","49.62398529637","51.6281668025485","55.0970714797604","51.8345420279829","53.5525167297061","58.5208633093525","61.1967938087341","57.2900476309852","58.1687440076702","57.2442396313364","54.8258919034394","60.8770858770859","70.7243460764588","73.7228324374854","69.2068361086766","75.3625743883624","67.4196284097139","69.5869581753616","71.7418357342183","78.0120995148585","76.5953987480693","76.3601346102886","","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","39.0331131949213","37.6090726830222","38.5039125302744","39.7453818803817","39.0159787645223","40.7299115748071","39.7568984988123","40.9506214006486","42.111678498959","40.4908633310135","41.9478181640211","40.1815254454063","39.5551376897405","40.9008157328549","39.3368702217121","39.4500267026799","38.9089807717367","38.3030884394646","43.9487668326639","40.0005635911781","38.474423751183","36.9806165432119","38.9872315250936","39.6577702394263","40.6598364977108","39.6230922101771","40.6954663206952","40.7521547833263","36.3088838554708","37.0230059026287","37.6184233300057","37.9845944020025","39.5678824542628","39.9587807888014","40.540141748456","36.001785106658","39.7829399785314","41.7399799677987","42.8787088581138","43.5765158393273","45.4232019651711","47.2599080649064","49.5954906742968","49.3114963769753","50.4384583588646","50.153126916098","49.1549520297674","47.8982689626035","45.5183445371725","45.5802400756357","47.3308177168396","46.4469267667366","46.6806686082685","47.2791706429848","49.4361835661219","54.6418877674779",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","13.4504123894373","14.5344127789343","17.1951216017252","14.464495500823","16.6888879617284","15.5739518818132","11.2079367747921","9.34262901059774","13.2904527518499","15.2870658843754","13.2033209985099","14.0364241712093","18.3537613659268","18.1839750816708","16.5922684859783","16.9945543576289","19.5465216541456","21.6490588241804","22.5257231624509","24.5423892365334","28.8571609170968","31.6095525701839","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.2094633939287",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2734429928124","11.4394317986585","11.8093288855134","11.8414465621219","12.9542437453716","12.5542002237736","12.6857801896578","13.1227493496999","14.1015811263575","14.4898698712508","12.8577396027842","13.0701043237586","13.6248512114874","14.1014390290146","15.4524255290704","18.3177555863013","20.4901523543659","22.7873149266923","21.8188347173196","22.1907348492813","25.3955855967296","12.9609149566337","13.2582636727017","14.3045855134398","15.47413286031","15.4903508055595","16.6054500506144","16.5508110804125","16.9675930802977","16.25028238777","16.535697641095","17.2136782929809","17.6647468727352","17.2042468107508","17.2255413717912","14.9129173032357","13.1692036718614","13.4229353111805","13.7281830173074","14.5656540909229","15.475441029042","15.8651482612872","15.283001028636","15.0761624253402","14.3019842821007","13.7321146524338","14.0055155274052","19.0713493717587","21.8181644465091","23.5518793159356","21.8737219485552","22.8876428889391","24.4374338572829","24.6165017109118","23.3115426130406","23.7961428641859","27.1419660217541","25.5853244066815","26.2024343557366","25.9812309257367","28.9389917180922",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.5083667630911","13.5536455017283","13.2998188926253","16.2733257364948","20.4468711883162","31.5205040229911","45.6081702240163","34.7747506786498","34.9788721217253","31.5177316359242","33.3315485334413","35.6755532005176","40.9446603582188","39.1623070536942","32.1865209224197","30.6464403834526","31.3262379654146","37.6298252057555",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233706883918","59.9252695246949","62.2390091672556","66.0222149082269","65.4631703175784","69.8224660901217","66.8522792044418","65.4423141253721","68.2203666875648","71.4176324482325","76.3656780122259","78.4658756659569","75.4805325555486","76.1817094662639","79.0774778263132","82.2797364957128","84.2887701256967","85.106288419788","85.6508075295366","84.7921679249979","85.8049588483096","81.703420189663","77.2350496202491","77.9474726744059","90.0743827859391",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","22.0086225020161","23.1469929090011","24.0934758469861","29.8676967544371","31.4787526722278","33.6568827416697","32.2626640109758","32.5451454315791","31.195365159734","29.428230445087","31.9693030366973","32.2175312376923","21.469147075404","25.7142094983548","27.0128209018384","29.8744793816952","34.622787711055","30.7679036363785","28.2550380636432","31.2403725729032","38.6165586801753","46.0807879551011","50.3420580545102","54.9771791159546","61.2449976452072","61.4861328318434","63.1718301124847","58.8854259141401","52.5346219363466","54.0885846752023","53.7925178484029","55.8104687740679","55.5933267290509","54.1963213563824","52.0290881590263","52.626024806745","58.0643096227828","57.7991060603601","54.8837741780053","61.9630912624018","65.7164455650185","64.8154396616196","60.9272739556354","57.0375948784849","57.2207428531414","60.9812635177724","58.5087915840422","72.6253406143746","67.6003376627747","62.4397000766352","61.1913185595526","65.969629208666","71.0085039672385","82.5780901711676","88.2631384168433","85.4313627773962","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","72.7148097616712","63.1430144406715","61.7624396300313","72.7944327723761","76.0156728611077","90.2350197794946","93.4571492196747","90.1141414549476","84.3831336549128","92.229717635625","112.190295805569",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200472184","22.4723059735896","24.5409673809812","25.867690550933","24.9557344123222","23.4115575468699","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.3131020043081","24.3288225735623","27.094656616163","27.1268661534912","25.7525433121082","27.64080836914","28.3138847636905","28.4289395061119","","","",
