,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,population_density,median_age
101310,MDA,Europe,Moldova,2021-10-22,325526.0,2057.0,7424.0,38.0,4024025.0,123.655,37.6
101311,MDA,Europe,Moldova,2021-10-23,327094.0,1568.0,7459.0,35.0,4024025.0,123.655,37.6
101312,MDA,Europe,Moldova,2021-10-24,328000.0,906.0,7497.0,38.0,4024025.0,123.655,37.6
101313,MDA,Europe,Moldova,2021-10-25,329294.0,1294.0,7535.0,38.0,4024025.0,123.655,37.6
101314,MDA,Europe,Moldova,2021-10-26,330799.0,1505.0,7576.0,41.0,4024025.0,123.655,37.6
101315,MDA,Europe,Moldova,2021-10-27,332625.0,1826.0,7619.0,43.0,4024025.0,123.655,37.6
101316,MDA,Europe,Moldova,2021-10-28,334287.0,1662.0,7665.0,46.0,4024025.0,123.655,37.6
101317,MDA,Europe,Moldova,2021-10-29,335860.0,1573.0,7665.0,0.0,4024025.0,123.655,37.6
101318,MDA,Europe,Moldova,2021-10-30,337115.0,1255.0,7751.0,86.0,4024025.0,123.655,37.6
101319,MDA,Europe,Moldova,2021-10-31,337768.0,653.0,7790.0,39.0,4024025.0,123.655,37.6
101320,MDA,Europe,Moldova,2021-11-01,339114.0,1346.0,7828.0,38.0,4024025.0,123.655,37.6
101321,MDA,Europe,Moldova,2021-11-02,340188.0,1074.0,7870.0,42.0,4024025.0,123.655,37.6
101322,MDA,Europe,Moldova,2021-11-03,341675.0,1487.0,7912.0,42.0,4024025.0,123.655,37.6
101323,MDA,Europe,Moldova,2021-11-04,343261.0,1586.0,7958.0,46.0,4024025.0,123.655,37.6
101324,MDA,Europe,Moldova,2021-11-05,344563.0,1302.0,8007.0,49.0,4024025.0,123.655,37.6
101325,MDA,Europe,Moldova,2021-11-06,345517.0,954.0,8056.0,49.0,4024025.0,123.655,37.6
101326,MDA,Europe,Moldova,2021-11-07,345964.0,447.0,8099.0,43.0,4024025.0,123.655,37.6
101327,MDA,Europe,Moldova,2021-11-08,347105.0,1141.0,8144.0,45.0,4024025.0,123.655,37.6
101328,MDA,Europe,Moldova,2021-11-09,348588.0,1483.0,8193.0,49.0,4024025.0,123.655,37.6
101329,MDA,Europe,Moldova,2021-11-10,349568.0,980.0,8253.0,60.0,4024025.0,123.655,37.6
101330,MDA,Europe,Moldova,2021-11-11,350697.0,1129.0,8323.0,70.0,4024025.0,123.655,37.6
101331,MDA,Europe,Moldova,2021-11-12,351940.0,1243.0,8391.0,68.0,4024025.0,123.655,37.6
101332,MDA,Europe,Moldova,2021-11-13,352670.0,730.0,8446.0,55.0,4024025.0,123.655,37.6
